date,trap,latitude,longitude,year,month,week,dayofyear,nummosquitos,wnvpresent,species-culex_pipiens,species-culex_pipiens/restuans,species-culex_restuans
2007-05-29,T096,41.731922,-87.677512,2007,5,22,149,1,0,1,0,0
2007-05-29,T002,41.95469,-87.800991,2007,5,22,149,1,0,0,1,0
2007-05-29,T015,41.974089,-87.824812,2007,5,22,149,1,0,0,1,0
2007-05-29,T048,41.867108,-87.654224,2007,5,22,149,1,0,0,1,0
2007-05-29,T050,41.919343,-87.694259,2007,5,22,149,1,0,0,1,0
2007-05-29,T054,41.921965,-87.632085,2007,5,22,149,2,0,0,1,0
2007-05-29,T086,41.688324,-87.676709,2007,5,22,149,1,0,0,1,0
2007-05-29,T129,41.891126,-87.61156,2007,5,22,149,1,0,0,1,0
2007-05-29,T143,41.999128999999996,-87.795585,2007,5,22,149,1,0,0,1,0
2007-05-29,T148,42.01743,-87.68776899999999,2007,5,22,149,1,0,0,1,0
2007-05-29,T002,41.95469,-87.800991,2007,5,22,149,1,0,0,0,1
2007-05-29,T007,41.994991,-87.769279,2007,5,22,149,1,0,0,0,1
2007-05-29,T015,41.974089,-87.824812,2007,5,22,149,4,0,0,0,1
2007-05-29,T045,41.9216,-87.666455,2007,5,22,149,2,0,0,0,1
2007-05-29,T046,41.891118,-87.65449100000001,2007,5,22,149,1,0,0,0,1
2007-05-29,T048,41.867108,-87.654224,2007,5,22,149,2,0,0,0,1
2007-05-29,T049,41.896282,-87.655232,2007,5,22,149,1,0,0,0,1
2007-05-29,T054,41.921965,-87.632085,2007,5,22,149,3,0,0,0,1
2007-05-29,T086,41.688324,-87.676709,2007,5,22,149,1,0,0,0,1
2007-05-29,T091,41.862292,-87.64886,2007,5,22,149,1,0,0,0,1
2007-05-29,T094,41.720848,-87.666014,2007,5,22,149,3,0,0,0,1
2007-05-29,T096,41.731922,-87.677512,2007,5,22,149,5,0,0,0,1
2007-05-29,T129,41.891126,-87.61156,2007,5,22,149,2,0,0,0,1
2007-05-29,T153,41.907645,-87.760886,2007,5,22,149,1,0,0,0,1
2007-05-29,T159,41.732984,-87.649642,2007,5,22,149,1,0,0,0,1
2007-06-05,T002,41.95469,-87.800991,2007,6,23,156,1,0,1,0,0
2007-06-05,T045,41.9216,-87.666455,2007,6,23,156,1,0,1,0,0
2007-06-05,T048,41.867108,-87.654224,2007,6,23,156,2,0,1,0,0
2007-06-05,T096,41.731922,-87.677512,2007,6,23,156,1,0,1,0,0
2007-06-05,T135,41.662014,-87.72460799999999,2007,6,23,156,1,0,1,0,0
2007-06-05,T002,41.95469,-87.800991,2007,6,23,156,3,0,0,1,0
2007-06-05,T015,41.974089,-87.824812,2007,6,23,156,1,0,0,1,0
2007-06-05,T031,41.801497999999995,-87.763416,2007,6,23,156,1,0,0,1,0
2007-06-05,T045,41.9216,-87.666455,2007,6,23,156,1,0,0,1,0
2007-06-05,T048,41.867108,-87.654224,2007,6,23,156,1,0,0,1,0
2007-06-05,T050,41.919343,-87.694259,2007,6,23,156,1,0,0,1,0
2007-06-05,T090,41.868077,-87.666901,2007,6,23,156,1,0,0,1,0
2007-06-05,T092,41.869215999999994,-87.627561,2007,6,23,156,1,0,0,1,0
2007-06-05,T094,41.720848,-87.666014,2007,6,23,156,2,0,0,1,0
2007-06-05,T096,41.731922,-87.677512,2007,6,23,156,1,0,0,1,0
2007-06-05,T135,41.662014,-87.72460799999999,2007,6,23,156,2,0,0,1,0
2007-06-05,T141,41.961743,-87.76007,2007,6,23,156,1,0,0,1,0
2007-06-05,T142,41.953067,-87.776792,2007,6,23,156,1,0,0,1,0
2007-06-05,T143,41.999128999999996,-87.795585,2007,6,23,156,2,0,0,1,0
2007-06-05,T146,41.958271,-87.702575,2007,6,23,156,1,0,0,1,0
2007-06-05,T149,41.994469,-87.667736,2007,6,23,156,1,0,0,1,0
2007-06-05,T151,41.916265,-87.800515,2007,6,23,156,1,0,0,1,0
2007-06-05,T158,41.682587,-87.707973,2007,6,23,156,3,0,0,1,0
2007-06-05,T162,41.725516999999996,-87.61425799999999,2007,6,23,156,1,0,0,1,0
2007-06-05,T218,41.948167,-87.730698,2007,6,23,156,2,0,0,1,0
2007-06-05,T002,41.95469,-87.800991,2007,6,23,156,5,0,0,0,1
2007-06-05,T009,41.981964000000005,-87.812827,2007,6,23,156,2,0,0,0,1
2007-06-05,T011,41.944869,-87.832763,2007,6,23,156,1,0,0,0,1
2007-06-05,T015,41.974089,-87.824812,2007,6,23,156,2,0,0,0,1
2007-06-05,T016,42.011601,-87.81150600000001,2007,6,23,156,1,0,0,0,1
2007-06-05,T019,41.94983,-87.69845699999999,2007,6,23,156,1,0,0,0,1
2007-06-05,T025,41.979243,-87.750938,2007,6,23,156,1,0,0,0,1
2007-06-05,T028,41.986921,-87.689778,2007,6,23,156,2,0,0,0,1
2007-06-05,T033,41.906638,-87.701431,2007,6,23,156,3,0,0,0,1
2007-06-05,T045,41.9216,-87.666455,2007,6,23,156,2,0,0,0,1
2007-06-05,T046,41.891118,-87.65449100000001,2007,6,23,156,1,0,0,0,1
2007-06-05,T048,41.867108,-87.654224,2007,6,23,156,1,0,0,0,1
2007-06-05,T049,41.896282,-87.655232,2007,6,23,156,2,0,0,0,1
2007-06-05,T050,41.919343,-87.694259,2007,6,23,156,1,0,0,0,1
2007-06-05,T054,41.921965,-87.632085,2007,6,23,156,3,0,0,0,1
2007-06-05,T086,41.688324,-87.676709,2007,6,23,156,4,0,0,0,1
2007-06-05,T089,41.723195000000004,-87.64997,2007,6,23,156,1,0,0,0,1
2007-06-05,T090,41.868077,-87.666901,2007,6,23,156,7,0,0,0,1
2007-06-05,T096,41.731922,-87.677512,2007,6,23,156,1,0,0,0,1
2007-06-05,T135,41.662014,-87.72460799999999,2007,6,23,156,4,0,0,0,1
2007-06-05,T141,41.961743,-87.76007,2007,6,23,156,2,0,0,0,1
2007-06-05,T142,41.953067,-87.776792,2007,6,23,156,3,0,0,0,1
2007-06-05,T143,41.999128999999996,-87.795585,2007,6,23,156,9,0,0,0,1
2007-06-05,T145,41.878114000000004,-87.629798,2007,6,23,156,3,0,0,0,1
2007-06-05,T146,41.958271,-87.702575,2007,6,23,156,2,0,0,0,1
2007-06-05,T147,41.932094,-87.700117,2007,6,23,156,1,0,0,0,1
2007-06-05,T150,42.006858,-87.675919,2007,6,23,156,2,0,0,0,1
2007-06-05,T151,41.916265,-87.800515,2007,6,23,156,10,0,0,0,1
2007-06-05,T152,41.846075,-87.716277,2007,6,23,156,1,0,0,0,1
2007-06-05,T153,41.907645,-87.760886,2007,6,23,156,3,0,0,0,1
2007-06-05,T154,41.918704999999996,-87.752329,2007,6,23,156,1,0,0,0,1
2007-06-05,T158,41.682587,-87.707973,2007,6,23,156,8,0,0,0,1
2007-06-05,T159,41.732984,-87.649642,2007,6,23,156,1,0,0,0,1
2007-06-05,T218,41.948167,-87.730698,2007,6,23,156,1,0,0,0,1
2007-06-05,T220,41.963976,-87.69181,2007,6,23,156,1,0,0,0,1
2007-06-26,T088,41.869107,-87.69629300000001,2007,6,26,177,1,0,1,0,0
2007-06-26,T090,41.868077,-87.666901,2007,6,26,177,1,0,1,0,0
2007-06-26,T135,41.662014,-87.72460799999999,2007,6,26,177,6,0,1,0,0
2007-06-26,T001,41.953705,-87.733974,2007,6,26,177,1,0,0,1,0
2007-06-26,T002,41.95469,-87.800991,2007,6,26,177,1,0,0,1,0
2007-06-26,T006,41.990284,-87.797127,2007,6,26,177,1,0,0,1,0
2007-06-26,T007,41.994991,-87.769279,2007,6,26,177,1,0,0,1,0
2007-06-26,T011,41.944869,-87.832763,2007,6,26,177,2,0,0,1,0
2007-06-26,T012,41.991429,-87.747113,2007,6,26,177,2,0,0,1,0
2007-06-26,T016,42.011601,-87.81150600000001,2007,6,26,177,2,0,0,1,0
2007-06-26,T025,41.979243,-87.750938,2007,6,26,177,1,0,0,1,0
2007-06-26,T028,41.986921,-87.689778,2007,6,26,177,1,0,0,1,0
2007-06-26,T033,41.906638,-87.701431,2007,6,26,177,2,0,0,1,0
2007-06-26,T040,41.852652,-87.719887,2007,6,26,177,5,0,0,1,0
2007-06-26,T045,41.9216,-87.666455,2007,6,26,177,1,0,0,1,0
2007-06-26,T046,41.891118,-87.65449100000001,2007,6,26,177,1,0,0,1,0
2007-06-26,T047,41.868142,-87.696269,2007,6,26,177,1,0,0,1,0
2007-06-26,T048,41.867108,-87.654224,2007,6,26,177,2,0,0,1,0
2007-06-26,T051,41.846283,-87.656913,2007,6,26,177,1,0,0,1,0
2007-06-26,T086,41.688324,-87.676709,2007,6,26,177,2,0,0,1,0
2007-06-26,T090,41.868077,-87.666901,2007,6,26,177,10,0,0,1,0
2007-06-26,T129,41.891126,-87.61156,2007,6,26,177,1,0,0,1,0
2007-06-26,T135,41.662014,-87.72460799999999,2007,6,26,177,20,0,0,1,0
2007-06-26,T141,41.961743,-87.76007,2007,6,26,177,1,0,0,1,0
2007-06-26,T143,41.999128999999996,-87.795585,2007,6,26,177,1,0,0,1,0
2007-06-26,T148,42.01743,-87.68776899999999,2007,6,26,177,2,0,0,1,0
2007-06-26,T151,41.916265,-87.800515,2007,6,26,177,3,0,0,1,0
